feature,mutual_info_score,correlation_score,variance_score,combined_ranking,selected
merchant_avg_amount,0.07035346685698929,0.4963839405296762,10150.922779876286,3.2,True
merchant_diversity,0.07505664485067653,0.40287366263874025,957140.5472283935,3.5,True
amount_sqrt,0.0578071149416618,0.5708336267829689,11.20524715575274,5.300000000000001,True
cust_amt_mean,0.03797565469249442,0.4351902119001968,2311.270515659373,6.2,True
merchant_risk_score,0.06650292700311866,0.7386852713790999,0.005726339365246128,6.6000000000000005,True
amount_square,0.05782950873821868,0.22045730905097566,325246442575.0759,7.0,True
cust_amt_sum,0.03190236907340682,0.4352736044588739,1666283.2693539632,7.4,True
cust_amt_range,0.036667649842350825,0.2843816344241959,334461.709707113,8.200000000000001,True
cust_amt_iqr,0.031876052977161784,0.42497148133722357,1601.1054872595594,9.7,True
cust_amt_median,0.03193899347416118,0.351207293191857,738.2165564444772,9.8,True
amt_vs_cust_mean_ratio,0.0228635557360809,0.3873016009904382,1.2851064850160963,11.799999999999999,True
cust_amt_cv,0.036351731214410155,0.15840889110311507,0.3413353408265604,12.3,True
is_very_high_amount,0.01965014491305006,0.5075962602432482,0.004975041458678821,12.9,True
cust_amt_skewness,0.03329019821941037,0.11868950408439052,0.014299259611226646,15.100000000000001,True
amt_vs_cust_q95_ratio,0.015839984342869817,0.25587352934641283,0.7896673041362494,15.3,True
amount_vs_merchant_avg,0.017228075350659955,0.13031625741219727,0.4711497322617265,15.899999999999999,True
cust_txn_count,0.01378758374297473,0.06764257277196568,60.722176984530435,16.8,True
is_cust_extreme_spender,0.013230818732134386,0.28458762438409607,0.02895138285874604,17.0,True
is_extreme_amount,0.007195766905894629,0.31942681545247525,0.001996016633471946,18.0,True
is_high_risk_merchant,0.0053993928805888824,0.2699305263760894,0.001447909565913049,20.1,True
is_cust_rare_user,0.0037667130541665372,0.121530006136456,0.040564442967580286,21.2,False
day_of_week,0.004311836401925895,0.0007540606126853405,3.9725606157134647,21.799999999999997,False
is_weekend,0.0059264896723911775,0.00012610339180285543,0.20100954167673624,22.1,False
is_cust_consistent,0.0030037134898108775,0.04820309940671873,0.1273026472442826,22.5,False
step,0.00021229898471863962,0.016533468166551324,2601.783626135148,23.2,False
is_cust_highly_volatile,0.0011361124818465296,0.056433159820422504,0.02902190157140198,23.3,False
is_micro_transaction,0.0008628679612632251,0.028730334675438993,0.04742538826712445,24.0,False
is_exact_round,0.00042054173241767856,0.001409240407582219,0.00010832249990972144,27.400000000000002,False
is_very_rare_merchant,0.0004735485384090854,0.0008739446654747639,4.16652777662036e-05,27.400000000000002,False
